nombre;club;posicion;minutos;partidos_jugados;goles;asistencias;distancia
Courtois;Real Madrid;Goalkeeper;1230;13;0;0;642
Vinícius Júnior;Real Madrid;Forward;1199;13;4;6;1330
Benzema;Real Madrid;Forward;1106;12;15;1;1215
Modrić;Real Madrid;Midfielder;1077;13;0;4;1245
Éder Militão;Real Madrid;Defender;1076;12;0;0;1104
Alaba;Real Madrid;Defender;1040;12;1;0;1123
Carvajal;Real Madrid;Defender;959;11;0;1;1128
Casemiro;Real Madrid;Midfielder;914;11;0;0;1076
Kroos;Real Madrid;Midfielder;902;12;2;0;1165
Mendy;Real Madrid;Defender;867;10;0;2;963
Valverde;Real Madrid;Midfielder;804;11;0;1;967
Nacho;Real Madrid;Defender;574;9;0;0;619
Rodrygo;Real Madrid;Forward;505;11;5;2;657
Lucas Vázquez;Real Madrid;Midfielder;349;8;0;1;474
Camavinga;Real Madrid;Midfielder;296;10;0;1;402
Asensio;Real Madrid;Forward;207;8;1;2;284
Jović;Real Madrid;Forward;113;3;0;0;129
Marcelo;Real Madrid;Defender;93;3;0;0;107
E. Hazard;Real Madrid;Forward;84;3;0;0;108
Miguel Gutiérrez;Real Madrid;Defender;66;1;0;0;77
Ceballos;Real Madrid;Midfielder;37;5;0;0;78
Mariano Díaz;Real Madrid;Forward;12;1;0;0;16
Vallejo;Real Madrid;Defender;8;2;0;0;15
Bale;Real Madrid;Forward;7;2;0;0;22
Blanco;Real Madrid;Midfielder;6;1;0;0;13
Alisson Becker;Liverpool;Goalkeeper;1170;13;0;0;688
Salah;Liverpool;Forward;1008;13;8;2;1120
Fabinho;Liverpool;Midfielder;849;13;1;0;1055
Robertson;Liverpool;Defender;826;10;0;2;977
Mané;Liverpool;Midfielder;822;13;5;1;1003
Van Dijk;Liverpool;Defender;810;9;0;1;828
Alexander-Arnold;Liverpool;Defender;794;9;0;4;868
Konaté;Liverpool;Defender;720;8;2;0;785
Henderson;Liverpool;Midfielder;666;12;1;2;857
Matip;Liverpool;Defender;630;7;0;0;662
Thiago Alcántara;Liverpool;Midfielder;604;10;1;0;779
Diogo Jota;Liverpool;Forward;578;11;1;1;739
Keïta;Liverpool;Midfielder;487;10;1;2;615
Luis Díaz;Liverpool;Forward;385;7;2;1;499
Tsimikas;Liverpool;Defender;344;5;0;2;427
