local;visitante;porganarpartido_local;porganarpartido_visitante;porperderpartido_local;porperderpartido_visitante;porcapacidad_ofensiva_local;porcapacidad_ofensiva_visitante;porcapacidad_defensiva_local;porcapacidad_defensiva_visitante;resultado
Eintracht Frankfurt;SSC Napoli;46.66666667;46.77419355;33.33333333;27.41935484;51.72413793;59.21787709;48.27586207;40.78212291;2
AC Milan;Tottenham Hotspur;49.06367041;44.44444444;25.46816479;34.92063492;63.51744186;56.31067961;36.48255814;43.68932039;1
FC Internazionale Milano;FC Porto;47.80487805;44.98141264;25.85365854;32.34200743;58.70445344;56.509299;41.29554656;43.490701;1
Club Brugge;SL Benfica;33.85826772;45.29616725;42.51968504;31.35888502;45.77259475;58.7144623;54.22740525;41.2855377;2
Liverpool FC;Real Madrid CF;57.25806452;59.87394958;22.58064516;23.1092437;67.42857143;66.77295918;32.57142857;33.22704082;2
Borussia Dortmund;Chelsea FC;47.64705882;51.74129353;32.94117647;21.89054726;57.28542914;65.39196941;42.71457086;34.60803059;2
Paris Saint-Germain;FC Bayern München;53.84615385;59.94764398;27.27272727;20.15706806;63.02895323;68.30926083;36.97104677;31.69073917;2
RB Leipzig;Manchester City FC;47.36842105;55.46218487;39.47368421;24.3697479;48.52941176;65.15957447;51.47058824;34.84042553;2
SSC Napoli;AC Milan;46.77419355;49.06367041;27.41935484;25.46816479;59.21787709;63.51744186;40.78212291;36.48255814;2
FC Internazionale Milano;SL Benfica;47.80487805;45.29616725;25.85365854;31.35888502;58.70445344;58.7144623;41.29554656;41.2855377;1
Real Madrid CF;Chelsea FC;59.87394958;51.74129353;23.1092437;21.89054726;66.77295918;65.39196941;33.22704082;34.60803059;1
FC Bayern München;Manchester City FC;59.94764398;55.46218487;20.15706806;24.3697479;68.30926083;65.15957447;31.69073917;34.84042553;2
AC Milan;FC Internazionale Milano;49.06367041;47.80487805;25.46816479;25.85365854;63.51744186;58.70445344;36.48255814;41.29554656;2
Real Madrid CF;Manchester City FC;59.87394958;55.46218487;23.1092437;24.3697479;66.77295918;65.15957447;33.22704082;34.84042553;2
FC Internazionale Milano;Manchester City FC;47.80487805;55.46218487;25.85365854;24.3697479;58.70445344;65.15957447;41.29554656;34.84042553;2
SL Benfica;Rabat Ajax FC;45.29616725;0.0;31.35888502;100.0;58.7144623;0.0;41.2855377;100.0;1
FC Internazionale Milano;Liverpool FC;47.80487805;57.25806452;25.85365854;22.58064516;58.70445344;67.42857143;41.29554656;32.57142857;2
Villarreal CF;Juventus;30.43478261;50.83056478;36.95652174;25.91362126;47.6635514;61.41025641;52.3364486;38.58974359;1
FC Salzburg;FC Bayern München;40.69767442;59.94764398;33.72093023;20.15706806;52.08333333;68.30926083;47.91666667;31.69073917;2
Manchester City FC;Sporting Clube de Portugal;55.46218487;29.24528302;24.3697479;50.0;65.15957447;44.02515723;34.84042553;55.97484277;1
Club Atlético de Madrid;Manchester United;47.5;54.60750853;26.25;21.84300341;59.78835979;65.23867809;40.21164021;34.76132191;1
Chelsea FC;LOSC Lille;51.74129353;25.0;21.89054726;46.42857143;65.39196941;43.75;34.60803059;56.25;1
Paris Saint-Germain;Real Madrid CF;53.84615385;59.87394958;27.27272727;23.1092437;63.02895323;66.77295918;36.97104677;33.22704082;2
SL Benfica;Liverpool FC;45.29616725;57.25806452;31.35888502;22.58064516;58.7144623;67.42857143;41.2855377;32.57142857;2
Villarreal CF;FC Bayern München;30.43478261;59.94764398;36.95652174;20.15706806;47.6635514;68.30926083;52.3364486;31.69073917;1
Manchester City FC;Club Atlético de Madrid;55.46218487;47.5;24.3697479;26.25;65.15957447;59.78835979;34.84042553;40.21164021;1
Chelsea FC;Real Madrid CF;51.74129353;59.87394958;21.89054726;23.1092437;65.39196941;66.77295918;34.60803059;33.22704082;2
Liverpool FC;Villarreal CF;57.25806452;30.43478261;22.58064516;36.95652174;67.42857143;47.6635514;32.57142857;52.3364486;1
Manchester City FC;Real Madrid CF;55.46218487;59.87394958;24.3697479;23.1092437;65.15957447;66.77295918;34.84042553;33.22704082;2
Liverpool FC;Real Madrid CF;57.25806452;59.87394958;22.58064516;23.1092437;67.42857143;66.77295918;32.57142857;33.22704082;2
SS Lazio;FC Bayern München;40.0;59.94764398;33.33333333;20.15706806;54.70588235;68.30926083;45.29411765;31.69073917;2
Paris Saint-Germain;FC Barcelona;53.84615385;58.1120944;27.27272727;19.46902655;63.02895323;66.03960396;36.97104677;33.96039604;1
VfL Borussia Mönchengladbach;Manchester City FC;40.0;55.46218487;30.90909091;24.3697479;59.7826087;65.15957447;40.2173913;34.84042553;2
Borussia Dortmund;Sevilla FC;47.64705882;41.66666667;32.94117647;31.94444444;57.28542914;51.64319249;42.71457086;48.35680751;1
Real Madrid CF;Atalanta BC;59.87394958;34.7826087;23.1092437;39.13043478;66.77295918;48.19277108;33.22704082;51.80722892;1
Liverpool FC;RB Leipzig;57.25806452;47.36842105;22.58064516;39.47368421;67.42857143;48.52941176;32.57142857;51.47058824;1
FC Porto;Juventus;44.98141264;50.83056478;32.34200743;25.91362126;56.509299;61.41025641;43.490701;38.58974359;1
Chelsea FC;Club Atlético de Madrid;51.74129353;47.5;21.89054726;26.25;65.39196941;59.78835979;34.60803059;40.21164021;1
FC Bayern München;Paris Saint-Germain;59.94764398;53.84615385;20.15706806;27.27272727;68.30926083;63.02895323;31.69073917;36.97104677;2
Manchester City FC;Borussia Dortmund;55.46218487;47.64705882;24.3697479;32.94117647;65.15957447;57.28542914;34.84042553;42.71457086;1
Real Madrid CF;Liverpool FC;59.87394958;57.25806452;23.1092437;22.58064516;66.77295918;67.42857143;33.22704082;32.57142857;1
FC Porto;Chelsea FC;44.98141264;51.74129353;32.34200743;21.89054726;56.509299;65.39196941;43.490701;34.60803059;2
Paris Saint-Germain;Manchester City FC;53.84615385;55.46218487;27.27272727;24.3697479;63.02895323;65.15957447;36.97104677;34.84042553;2
Real Madrid CF;Chelsea FC;59.87394958;51.74129353;23.1092437;21.89054726;66.77295918;65.39196941;33.22704082;34.60803059;2
Manchester City FC;Chelsea FC;55.46218487;51.74129353;24.3697479;21.89054726;65.15957447;65.39196941;34.84042553;34.60803059;2
Tottenham Hotspur;RB Leipzig;44.44444444;47.36842105;34.92063492;39.47368421;56.31067961;48.52941176;43.68932039;51.47058824;2
Club Atlético de Madrid;Liverpool FC;47.5;57.25806452;26.25;22.58064516;59.78835979;67.42857143;40.21164021;32.57142857;1
Atalanta BC;Valencia CF;34.7826087;44.53125;39.13043478;28.125;48.19277108;59.50155763;51.80722892;40.49844237;1
Borussia Dortmund;Paris Saint-Germain;47.64705882;53.84615385;32.94117647;27.27272727;57.28542914;63.02895323;42.71457086;36.97104677;2
Real Madrid CF;Manchester City FC;59.87394958;55.46218487;23.1092437;24.3697479;66.77295918;65.15957447;33.22704082;34.84042553;2
Olympique Lyonnais;Juventus;43.91891892;50.83056478;31.08108108;25.91362126;56.58536585;61.41025641;43.41463415;38.58974359;2
SSC Napoli;FC Barcelona;46.77419355;58.1120944;27.41935484;19.46902655;59.21787709;66.03960396;40.78212291;33.96039604;1
Chelsea FC;FC Bayern München;51.74129353;59.94764398;21.89054726;20.15706806;65.39196941;68.30926083;34.60803059;31.69073917;2
RB Leipzig;Club Atlético de Madrid;47.36842105;47.5;39.47368421;26.25;48.52941176;59.78835979;51.47058824;40.21164021;2
Atalanta BC;Paris Saint-Germain;34.7826087;53.84615385;39.13043478;27.27272727;48.19277108;63.02895323;51.80722892;36.97104677;1
Manchester City FC;Olympique Lyonnais;55.46218487;43.91891892;24.3697479;31.08108108;65.15957447;56.58536585;34.84042553;43.41463415;2
FC Barcelona;FC Bayern München;58.1120944;59.94764398;19.46902655;20.15706806;66.03960396;68.30926083;33.96039604;31.69073917;2
RB Leipzig;Paris Saint-Germain;47.36842105;53.84615385;39.47368421;27.27272727;48.52941176;63.02895323;51.47058824;36.97104677;2
Olympique Lyonnais;FC Bayern München;43.91891892;59.94764398;31.08108108;20.15706806;56.58536585;68.30926083;43.41463415;31.69073917;2
Paris Saint-Germain;FC Bayern München;53.84615385;59.94764398;27.27272727;20.15706806;63.02895323;68.30926083;36.97104677;31.69073917;2
Tottenham Hotspur;Borussia Dortmund;44.44444444;47.64705882;34.92063492;32.94117647;56.31067961;57.28542914;43.68932039;42.71457086;1
FC Schalke 04;Manchester City FC;40.25974026;55.46218487;36.36363636;24.3697479;48.2300885;65.15957447;51.7699115;34.84042553;2
Rabat Ajax FC;Real Madrid CF;0.0;59.87394958;100.0;23.1092437;0.0;66.77295918;100.0;33.22704082;1
Club Atlético de Madrid;Juventus;47.5;50.83056478;26.25;25.91362126;59.78835979;61.41025641;40.21164021;38.58974359;2
Manchester United;Paris Saint-Germain;54.60750853;53.84615385;21.84300341;27.27272727;65.23867809;63.02895323;34.76132191;36.97104677;1
