local;visitante;porganarpartido_local;porganarpartido_visitante;porperderpartido_local;porperderpartido_visitante;porcapacidad_ofensiva_local;porcapacidad_ofensiva_visitante;porcapacidad_defensiva_local;porcapacidad_defensiva_visitante;resultado
FC Internazionale Milano;Club Atlético de Madrid;47.80487805;47.5;25.85365854;26.25;58.70445344;59.78835979;41.29554656;40.21164021;0
PSV Eindhoven;Borussia Dortmund;36.89839572;47.64705882;39.57219251;32.94117647;51.55279503;57.28542914;48.44720497;42.71457086;0
Paris Saint-Germain;Real Sociedad de Fútbol;53.84615385;30.76923077;27.27272727;46.15384615;63.02895323;45.28301887;36.97104677;54.71698113;0
SSC Napoli;FC Barcelona;46.77419355;58.1120944;27.41935484;19.46902655;59.21787709;66.03960396;40.78212291;33.96039604;0
FC Porto;Arsenal FC;44.98141264;50.24875622;32.34200743;28.35820896;56.509299;60.36363636;43.490701;39.63636364;0
SS Lazio;FC Bayern München;40.0;59.94764398;33.33333333;20.15706806;54.70588235;68.30926083;45.29411765;31.69073917;0
RB Leipzig;Real Madrid CF;47.36842105;59.87394958;39.47368421;23.1092437;48.52941176;66.77295918;51.47058824;33.22704082;0
Kjøbenhavns BK;Manchester City FC;30.76923077;55.46218487;53.84615385;24.3697479;43.18181818;65.15957447;56.81818182;34.84042553;0
Club Atlético de Madrid;Borussia Dortmund;47.5;47.64705882;26.25;32.94117647;59.78835979;57.28542914;40.21164021;42.71457086;0
Paris Saint-Germain;FC Barcelona;53.84615385;58.1120944;27.27272727;19.46902655;63.02895323;66.03960396;36.97104677;33.96039604;0
Arsenal FC;FC Bayern München;50.24875622;59.94764398;28.35820896;20.15706806;60.36363636;68.30926083;39.63636364;31.69073917;0
Real Madrid CF;Manchester City FC;59.87394958;55.46218487;23.1092437;24.3697479;66.77295918;65.15957447;33.22704082;34.84042553;0
FC Bayern München;Paris Saint-Germain;59.94764398;53.84615385;20.15706806;27.27272727;68.30926083;63.02895323;31.69073917;36.97104677;0
FC Bayern München;Real Madrid CF;59.94764398;59.87394958;20.15706806;23.1092437;68.30926083;66.77295918;31.69073917;33.22704082;0
Borussia Dortmund;Real Madrid CF;47.64705882;59.87394958;32.94117647;23.1092437;57.28542914;66.77295918;42.71457086;33.22704082;0
