fecha;local;visitante;puntos_local;puntos_visitante;resultado
13/02/24;B 1903 København;Manchester City FC;1;2;2
13/02/24;RB Leipzig;Real Madrid CF;1;2;2
14/02/24;SS Lazio;FC Bayern München;1;2;2
14/02/24;Paris Saint-Germain;Real Sociedad de Fútbol;2;1;1
20/02/24;FC Inter Turku;Club Atlético de Madrid;1;2;2
20/02/24;PSV Eindhoven;Borussia Dortmund;1;2;2
21/02/24;FC Porto;Arsenal FC;1;2;2
21/02/24;SSC Napoli;FC Barcelona;1;2;2
5/03/24;FC Bayern München;SS Lazio;2;1;1
5/03/24;Real Sociedad de Fútbol;Paris Saint-Germain;1;2;2
6/03/24;Manchester City FC;B 1903 København;2;1;1
6/03/24;Real Madrid CF;RB Leipzig;2;1;1
12/03/24;Arsenal FC;FC Porto;2;1;1
12/03/24;FC Barcelona;SSC Napoli;2;1;1
13/03/24;Club Atlético de Madrid;FC Inter Turku;2;1;1
13/03/24;Borussia Dortmund;PSV Eindhoven;2;1;1
